,DATA_TYPE,N,DATA_LABEL,NGRAM_TFIDF_RF,EXP,WORD_TFIFD_RF,CHAR_NGRAM_TFIDF_RF,WC_RF
18,SPEAKERS,690,1641,0.7692307692307693,TB_INT,0.7999999999999999,0.7096774193548386,0.7777777777777778
19,SPEAKERS,690,1641,0.8888888888888888,TB_INT,0.8823529411764706,0.8823529411764706,0.9090909090909091
0,SPEAKERS,716,1683,0.9142857142857143,TB_INT,0.8823529411764706,0.8823529411764706,0.9444444444444444
1,SPEAKERS,716,1683,0.7741935483870968,TB_INT,0.8484848484848485,0.7741935483870968,0.7741935483870968
2,SPEAKERS,716,1683,0.43749999999999994,TB_INT,0.48484848484848486,0.43749999999999994,0.42424242424242425
3,SPEAKERS,716,1683,0.5999999999999999,TB_INT,0.625,0.6206896551724139,0.6875
4,SPEAKERS,716,1683,0.7096774193548386,TB_INT,0.7500000000000001,0.7333333333333334,0.7741935483870968
5,SPEAKERS,716,1683,0.8125,TB_INT,0.7647058823529412,0.8125,0.8125
6,SPEAKERS,716,1683,0.6857142857142857,TB_INT,0.7272727272727272,0.7272727272727272,0.7428571428571428
7,SPEAKERS,716,1683,0.9411764705882353,TB_INT,0.9411764705882353,0.8888888888888888,0.9411764705882353
8,SPEAKERS,716,1683,0.8666666666666666,TB_INT,0.8387096774193549,0.8387096774193549,0.8387096774193549
9,SPEAKERS,716,1683,0.8571428571428571,TB_INT,0.9090909090909091,0.8823529411764706,0.8823529411764706
10,SPEAKERS,716,1683,0.6938775510204082,TB_INT,0.7727272727272727,0.7391304347826086,0.7727272727272727
11,SPEAKERS,716,1683,0.787878787878788,TB_INT,0.787878787878788,0.787878787878788,0.787878787878788
12,SPEAKERS,716,1683,0.0,TB_INT,0.0,0.0,0.0
13,SPEAKERS,716,1683,0.5185185185185185,TB_INT,0.5185185185185185,0.5185185185185185,0.5
14,SPEAKERS,716,1683,0.7777777777777778,TB_INT,0.7428571428571428,0.7222222222222222,0.7567567567567567
15,SPEAKERS,716,1683,0.6399999999999999,TB_INT,0.6399999999999999,0.6666666666666667,0.6399999999999999
16,SPEAKERS,716,1683,0.8000000000000002,TB_INT,0.8000000000000002,0.8275862068965517,0.7741935483870968
17,SPEAKERS,716,1683,0.9696969696969697,TB_INT,0.9411764705882353,0.9142857142857143,0.9696969696969697
18,SPEAKERS,716,1683,1.0,TB_INT,1.0,0.9714285714285714,0.9696969696969697
19,SPEAKERS,716,1683,0.8387096774193549,TB_INT,0.8749999999999999,0.8125,0.8484848484848485
0,SPEAKERS,613,1678,0.8666666666666667,TB_INT,0.8666666666666667,0.8666666666666667,0.8666666666666667
1,SPEAKERS,613,1678,0.8666666666666667,TB_INT,0.896551724137931,0.896551724137931,0.9285714285714286
2,SPEAKERS,613,1678,0.88,TB_INT,0.88,0.88,0.8148148148148148
